cell	feat	dist	cell_x	cell_y	x	y
0	blank005	1	475.5	630.6	32683.453901599998	19283.088866
0	PCNX	1	475.5	630.6	38042.4756518	23852.4370214
0	AKAP11	1	475.5	630.6	1590.470070125	7216.19216217
0	VPS13A	1	475.5	630.6	8056.09408311	34729.610763699995
0	UBR2	1	475.5	630.6	9378.94124494	20507.1562643
0	CREBBP	1	475.5	630.6	9808.22059328	31547.5195843
0	ANKRD52	1	475.5	630.6	10204.45911353	27562.6718297
0	CACNA1A	1	475.5	630.6	13996.11075381	35320.8185191
0	PRRC2B	1	475.5	630.6	15449.78914916	9194.32010634
0	KIAA1147	1	475.5	630.6	17218.7326278	30091.799204799998
0	CKAP5	1	475.5	630.6	17830.3719982	18745.9874072
0	KIAA1462	1	475.5	630.6	18232.843885299997	9382.40788271
0	ANKRD52	1	475.5	630.6	20175.8862634	22947.474008
0	PDS5A	1	475.5	630.6	20588.9315551	11950.35395858
0	PCNX	1	475.5	630.6	21161.7110275	9711.04409655
0	PRRC2B	0	475.5	630.6	25626.310036099996	34207.61238409999
0	blank005	1	475.5	630.6	33753.0148037	36166.182121599995
0	TLN1	1	475.5	630.6	37646.4413308	36165.179654
0	blank001	1	475.5	630.6	8434.64924557	38856.5259026
0	ANKRD52	1	475.5	630.6	34809.963715499995	23006.8678753
0	SRRM2	1	475.5	630.6	2777.89830386	31646.5424681
0	notarget003	1	475.5	630.6	9911.76483174	36770.3156436
0	SPTAN1	0	475.5	630.6	10187.39401813	19471.3588377
0	STARD9	1	475.5	630.6	10117.21896817	35473.589284099995
0	SPTAN1	0	475.5	630.6	12151.24748366	13261.97292885
0	FBN1	1	475.5	630.6	12422.96426419	25950.5189263
0	SPTAN1	1	475.5	630.6	13804.38029996	19523.1751468
0	SRRM2	1	475.5	630.6	14073.16036545	28392.611078400005
0	SPTAN1	0	475.5	630.6	17601.8445222	6019.407669100001
0	blank004	0	475.5	630.6	19580.2489499	37037.5139736
0	C17orf51	1	475.5	630.6	21017.3455729	21654.900738099997
0	FBN2	1	475.5	630.6	21261.4274623	28188.800370599998
0	SPTAN1	1	475.5	630.6	22442.749707599996	7371.566555699999
0	MYH10	1	475.5	630.6	23074.6751024	14726.61131543
0	ITGA2	1	475.5	630.6	23255.432929799998	38679.9836729
0	SPTAN1	0	475.5	630.6	24242.1174934	16117.62457734
0	DOCK7	1	475.5	630.6	24710.1951635	39790.4196787
0	H6PD	1	475.5	630.6	25939.821507499997	6607.90136388
0	SLC5A3	1	475.5	630.6	28277.960802200003	35060.330366
0	FBN1	0	475.5	630.6	29193.9263935	39231.657535000006
0	SPTAN1	0	475.5	630.6	29863.1960444	12589.73938366
0	FBN1	1	475.5	630.6	31471.688007200002	39664.3568062
0	FBN1	1	475.5	630.6	31871.912792400002	20707.840732099998
0	GTF3C1	1	475.5	630.6	31983.230834099995	24162.3767469
0	DOCK7	1	475.5	630.6	32965.4388291	18275.096304799998
0	SRRM2	1	475.5	630.6	33473.0557031	14874.30729111
0	MYH10	1	475.5	630.6	35173.0023602	39597.8041499
0	SPTAN1	0	475.5	630.6	37228.321343300006	9818.80004996
0	SPTAN1	0	475.5	630.6	39606.3277297	26399.6718224
0	MYH10	1	475.5	630.6	9301.31573547	23853.9319887
0	H6PD	1	475.5	630.6	18526.489019999997	33465.8858754
0	FBN1	1	475.5	630.6	25460.1220569	30875.512085299997
0	GTF3C1	1	475.5	630.6	26076.229311900002	5891.47142233
0	PRKCA	1	475.5	630.6	27187.272646599995	27519.454918400002
0	GTF3C1	1	475.5	630.6	28375.400409099995	35669.20662119999
0	MYH10	1	475.5	630.6	31058.944684900005	6971.28082719
0	CBX5	1	475.5	630.6	31055.118113700002	36266.8087064
0	MYH10	1	475.5	630.6	31104.8610176	20739.603413999997
0	MYH10	1	475.5	630.6	34995.304941400005	29521.530159900005
0	SPTAN1	1	475.5	630.6	36101.6315281	12882.43680839
