cell	feat	expr_map	expr_ci_lower	expr_ci_upper
23	SIPA1L3	0	0	6
23	SPTBN1	14	8	24
23	FOSB	0	0	6
23	POLQ	0	0	7
23	TNC	2	1	9
23	NR4A1	0	0	6
23	LYST	0	0	7
23	PRKCA	4	2	15
23	MED14	0	0	6
23	SLC38A1	0	0	6
23	VPS13D	0	0	7
23	PIK3CA	0	0	7
23	LRP1	0	0	6
23	ABCA2	0	0	6
23	MAN1A2	0	0	7
23	VPS13A	0	0	6
23	RAB3B	2	1	10
23	TNRC6A	0	0	6
23	SSH1	0	0	6
23	FLNA	77	62	98
23	STARD9	0	0	7
23	COL5A1	4	2	13
23	ZFC3H1	2	1	11
23	BRCA2	0	0	7
23	DOPEY1	0	0	7
23	AFF4	0	0	7
23	PRKDC	0	0	6
23	THSD4	0	0	6
23	USP9X	2	1	10
23	GPR107	4	2	12
23	CKAP5	16	9	30
23	ASCC3	2	1	10
23	PRPF8	6	3	15
23	COL7A1	2	1	10
23	SVEP1	2	1	9
23	KIAA1199	5	3	14
23	GTF3C4	0	0	6
23	DIP2B	0	0	7
23	FLNB	16	9	30
23	FLNC	2	1	9
23	KIDINS220	0	0	6
23	EGFR	0	0	6
23	TMOD2	0	0	6
23	THBS1	1	1	7
23	ROCK2	0	0	5
23	KPNA4	0	0	6
23	DNAJC13	0	0	6
23	SON	2	1	9
23	DYNC1H1	28	19	43
23	CHD8	5	2	16
23	CBL	0	0	7
23	HEATR5B	0	0	7
23	CACNA1A	0	0	7
23	USP34	0	0	7
23	GTF3C1	4	2	12
23	TPR	4	2	13
23	C14orf132	0	0	6
23	SMARCA5	0	0	5
23	ITGA2	0	0	6
23	ATP11A	0	0	7
30	MKI67	0	0	5
30	KIDINS220	0	0	6
30	COL7A1	2	1	10
30	TPR	6	3	16
30	NUMA1	57	41	81
30	DOCK7	2	1	10
30	FBN2	34	24	48
30	PIEZO1	2	1	9
30	PHIP	5	2	16
30	LMTK2	0	0	8
30	ALPK2	6	3	16
30	HELZ2	0	0	7
30	USP34	0	0	7
30	AFAP1	0	0	7
30	ROCK2	0	0	5
30	NR4A1	0	0	6
30	VPS13A	2	1	10
30	FOSB	0	0	6
30	ZKSCAN2	2	1	10
30	SCUBE3	0	0	6
30	CREBBP	7	3	17
30	STARD9	5	2	15
30	VPS13D	2	1	11
30	QSER1	0	0	8
30	THBS1	346	315	381
30	UBR2	0	0	8
30	MALAT1	2	1	9
30	CKAP5	2	1	10
30	FBN1	22	14	35
30	LRP1	15	9	28
30	KIAA2018	0	0	6
30	DOPEY1	0	0	7
30	PRPF8	48	36	66
30	BRCA2	2	1	12
30	FASN	0	0	7
30	IGF2R	0	0	5
30	ASCC3	0	0	6
30	AKAP11	2	1	12
30	SVEP1	4	2	12
30	C17orf51	2	1	9
30	USP9X	0	0	6
30	CBL	0	0	7
30	CACNA1A	2	1	11
30	NF1	2	1	11
30	PCNX	2	1	10
30	LUZP1	5	2	15
30	AFF4	0	0	7
30	MYH10	10	5	19
30	HEATR5B	0	0	7
30	ANKRD52	2	1	9
30	MAN1A2	2	1	11
30	GTF3C1	2	1	9
30	ARL10	0	0	7
30	THSD4	2	1	10
30	MED14	0	0	6
30	SLC38A1	4	2	13
30	PRKCA	4	2	15
30	TLN1	24	15	39
30	NUP98	2	1	11
30	SON	4	2	13
30	COL5A1	22	13	35
30	PAPPA	16	9	29
30	DNAJC13	8	4	18
30	VCAN	2	1	9
30	KIAA1147	0	0	8
30	CASC5	2	1	11
30	NKTR	0	0	5
30	DIEXF	0	0	6
30	PRRC2B	2	1	9
30	CENPF	0	0	6
30	ZFC3H1	0	0	7
30	RAB3B	2	1	10
30	UBR5	4	2	12
30	SMARCA5	0	0	5
30	SRRM2	36	25	53
30	FLNA	75	60	96
30	FRY	0	0	8
30	DYNC1H1	2	1	9
30	REV3L	0	0	6
30	SIPA1L3	6	3	16
30	SPTBN1	26	17	39
30	EGFR	2	1	10
30	CEP250	7	3	18
30	H6PD	2	1	10
30	LYST	2	1	11
30	CBX5	0	0	5
30	C14orf132	4	2	12
30	KPNA4	0	0	6
30	RNF169	0	0	7
30	GTF3C4	0	0	6
30	PTPN14	4	2	13
30	ITGA2	0	0	6
30	ZC3H13	0	0	6
30	TNRC6A	6	3	17
30	FZD4	2	1	11
30	ALMS1	14	7	27
30	IQGAP1	16	9	27
30	FYCO1	8	4	19
30	AMOTL1	0	0	7
30	PDS5A	4	2	14
30	ATP11A	0	0	7
30	AGPS	2	1	11
30	POLQ	0	0	7
30	CHD8	0	0	8
30	FLNC	16	10	28
30	GPR107	8	4	18
30	HIVEP2	0	0	7
30	PLXNA1	0	0	6
30	TMOD2	2	1	10
30	PRKDC	0	0	6
30	PIK3CA	0	0	7
30	DIP2C	2	1	10
30	NOTCH2	2	1	10
30	USP24	0	0	7
30	FAM208B	0	0	7
30	DSEL	2	1	10
30	TNC	43	31	60
30	KIAA1462	0	0	5
30	SLC5A3	0	0	6
30	FLNB	4	2	14
30	NRIP1	4	2	13
30	ABCA2	2	1	10
30	HIVEP1	9	4	20
30	SSH1	4	2	13
30	SLC7A11	0	0	6
30	DIP2B	0	0	7
30	HERC2	0	0	7
30	TEAD1	8	4	17
30	SPTAN1	11	5	21
30	KIAA1199	0	0	5
24	TLN1	8	4	19
24	TMOD2	2	1	10
24	SVEP1	2	1	9
24	SIPA1L3	2	1	9
24	KIAA1147	0	0	8
24	HELZ2	0	0	7
24	HIVEP1	0	0	6
24	CENPF	0	0	6
24	IGF2R	10	5	20
24	ALPK2	4	2	13
24	DNAJC13	2	1	9
24	CEP250	0	0	7
24	TPR	11	5	22
24	DSEL	0	0	6
24	SPTBN1	24	16	37
24	USP9X	0	0	6
24	THSD4	0	0	6
24	FLNA	196	170	227
24	PRKDC	9	4	20
24	PDS5A	4	2	14
24	GTF3C1	17	10	29
24	ABCA2	0	0	6
24	PRPF8	10	5	20
24	H6PD	4	2	14
24	PTPN14	13	7	25
24	THBS1	173	151	199
24	LMTK2	0	0	8
24	CHD8	0	0	8
24	ANKRD52	0	0	6
24	KIAA2018	0	0	6
24	COL7A1	2	1	10
24	POLQ	0	0	7
24	ITGA2	0	0	6
24	USP24	0	0	7
24	COL5A1	59	44	79
24	RAB3B	2	1	10
24	HERC2	0	0	7
24	DOPEY1	0	0	7
24	UBR2	0	0	8
24	NOTCH2	0	0	6
24	PRRC2B	32	22	47
24	IQGAP1	14	8	25
24	ALMS1	4	2	14
24	LUZP1	2	1	12
24	VPS13A	0	0	6
24	CKAP5	9	4	20
24	FASN	2	1	11
24	SLC7A11	4	2	13
24	HIVEP2	2	1	12
24	PLXNA1	2	1	10
24	NUP98	5	2	15
24	QSER1	0	0	8
24	AFAP1	0	0	7
24	AFF4	7	3	19
24	BRCA2	0	0	7
24	CACNA1A	0	0	7
24	KIAA1199	27	19	40
24	PIEZO1	4	2	13
24	ARL10	0	0	7
24	NF1	0	0	6
24	RNF169	0	0	7
24	ATP11A	0	0	7
24	FLNC	8	4	17
24	NKTR	2	1	9
24	SRRM2	32	22	47
24	MALAT1	0	0	5
24	STARD9	0	0	7
24	FBN1	20	13	33
24	TNC	2	1	9
24	HEATR5B	0	0	7
24	LRP1	33	23	50
24	PRKCA	2	1	11
24	FBN2	112	93	136
24	FLNB	4	2	14
24	KIDINS220	0	0	6
24	FOSB	4	2	13
24	SPTAN1	39	28	56
24	DIEXF	0	0	6
24	CREBBP	7	3	17
24	CBL	0	0	7
24	EGFR	6	3	16
24	GTF3C4	0	0	6
24	REV3L	0	0	6
24	ZKSCAN2	0	0	6
24	VPS13D	0	0	7
24	SLC5A3	0	0	6
24	SLC38A1	0	0	6
24	TEAD1	8	4	17
24	DOCK7	11	5	23
24	PIK3CA	4	2	14
24	NR4A1	0	0	6
24	NUMA1	23	14	40
24	UBR5	0	0	5
24	KIAA1462	21	13	34
24	DIP2B	0	0	7
24	SCUBE3	55	40	75
24	CASC5	0	0	7
24	FAM208B	2	1	11
24	SSH1	2	1	10
24	AGPS	0	0	7
24	NRIP1	0	0	6
24	MAN1A2	0	0	7
24	C17orf51	0	0	6
24	TNRC6A	2	1	10
24	DYNC1H1	28	19	43
24	ROCK2	2	1	8
24	PCNX	16	9	28
24	MYH10	4	2	11
24	MED14	2	1	10
24	LYST	0	0	7
24	CBX5	0	0	5
24	PHIP	0	0	7
24	GPR107	8	4	18
24	SON	26	17	41
24	C14orf132	2	1	9
24	FYCO1	11	5	22
24	PAPPA	6	3	17
24	KPNA4	0	0	6
24	FZD4	0	0	7
24	SMARCA5	2	1	9
24	AMOTL1	0	0	7
24	AKAP11	0	0	7
24	DIP2C	11	5	23
24	USP34	0	0	7
24	FRY	0	0	8
24	ASCC3	11	5	23
24	ZFC3H1	4	2	14
24	VCAN	6	3	15
24	MKI67	0	0	5
24	ZC3H13	0	0	6
28	ABCA2	0	0	6
28	CKAP5	4	2	14
28	ASCC3	0	0	6
28	COL5A1	61	46	82
28	USP24	0	0	7
28	FAM208B	0	0	7
28	ATP11A	0	0	7
28	SLC38A1	0	0	6
28	TEAD1	6	3	14
28	PRKDC	6	3	17
28	SRRM2	10	5	21
28	CHD8	8	3	20
28	PIK3CA	0	0	7
28	VPS13D	0	0	7
28	AFAP1	2	1	11
28	ROCK2	0	0	5
28	TNC	30	20	45
28	AFF4	0	0	7
28	RNF169	0	0	7
28	ZC3H13	4	2	13
28	SON	0	0	6
28	PIEZO1	0	0	6
28	SIPA1L3	4	2	13
28	NRIP1	4	2	13
28	MAN1A2	0	0	7
28	DSEL	0	0	6
28	BRCA2	0	0	7
28	FLNB	7	3	17
28	DYNC1H1	43	31	61
28	PTPN14	0	0	6
28	FLNA	202	176	234
28	PRPF8	14	8	26
28	HIVEP2	0	0	7
28	LRP1	2	1	10
28	STARD9	0	0	7
28	PAPPA	0	0	6
28	LYST	0	0	7
28	DNAJC13	0	0	6
28	VCAN	2	1	9
28	CENPF	0	0	6
28	CEP250	2	1	11
28	KIAA2018	0	0	6
28	TMOD2	0	0	6
28	KIAA1462	12	7	24
28	LMTK2	0	0	8
28	TPR	2	1	9
28	PCNX	2	1	10
28	VPS13A	11	5	23
28	DIP2C	2	1	10
28	GTF3C1	10	5	21
28	EGFR	0	0	6
28	HELZ2	0	0	7
28	H6PD	2	1	10
28	SLC5A3	0	0	6
28	DIP2B	0	0	7
28	COL7A1	0	0	6
28	NOTCH2	0	0	6
28	FBN1	2	1	8
28	FZD4	0	0	7
28	HERC2	0	0	7
28	HEATR5B	0	0	7
28	PRRC2B	23	15	37
28	MED14	2	1	10
28	KIDINS220	0	0	6
28	LUZP1	0	0	7
28	KIAA1199	3	2	11
28	NKTR	0	0	5
28	FRY	0	0	8
28	CACNA1A	0	0	7
28	FLNC	8	4	17
28	CASC5	0	0	7
28	PHIP	0	0	7
28	FBN2	22	14	34
28	UBR2	0	0	8
28	TNRC6A	0	0	6
28	PLXNA1	0	0	6
28	SPTAN1	33	22	48
28	SLC7A11	0	0	6
28	ANKRD52	0	0	6
28	POLQ	0	0	7
28	IGF2R	2	1	9
28	SPTBN1	18	11	29
28	ZFC3H1	2	1	11
28	FASN	0	0	7
28	ALPK2	0	0	6
28	CREBBP	4	2	14
28	USP9X	2	1	10
28	DIEXF	0	0	6
28	KPNA4	2	1	10
28	C17orf51	0	0	6
28	ZKSCAN2	0	0	6
28	NF1	4	2	14
28	GTF3C4	0	0	6
28	MALAT1	2	1	9
28	NR4A1	0	0	6
28	SSH1	2	1	10
28	NUP98	2	1	11
28	SVEP1	2	1	9
28	DOCK7	4	2	13
28	UBR5	0	0	5
28	AGPS	0	0	7
28	SMARCA5	2	1	9
28	THBS1	16	10	26
28	KIAA1147	0	0	8
28	AKAP11	0	0	7
28	RAB3B	2	1	10
28	ARL10	0	0	7
28	DOPEY1	2	1	12
28	QSER1	0	0	8
28	REV3L	0	0	6
28	ALMS1	0	0	6
28	IQGAP1	6	3	14
28	MKI67	0	0	5
28	GPR107	4	2	12
28	C14orf132	0	0	6
28	ITGA2	0	0	6
28	MYH10	18	11	29
28	NUMA1	0	0	7
28	USP34	0	0	7
28	FOSB	0	0	6
28	PDS5A	0	0	7
28	PRKCA	0	0	7
28	HIVEP1	0	0	6
28	AMOTL1	2	1	11
28	TLN1	49	36	68
28	FYCO1	0	0	6
28	THSD4	0	0	6
28	SCUBE3	4	2	13
28	CBL	0	0	7
28	CBX5	0	0	5
47	DYNC1H1	26	17	41
47	POLQ	0	0	7
47	TLN1	35	24	52
47	RNF169	0	0	7
47	PHIP	0	0	7
47	SIPA1L3	8	4	19
47	PRKDC	2	1	10
47	PAPPA	9	4	20
47	FLNA	114	95	139
47	DIP2B	7	3	19
47	PCNX	9	4	19
47	ALMS1	4	2	14
47	PRRC2B	17	10	29
47	DIP2C	0	0	6
47	ANKRD52	0	0	6
47	ROCK2	28	19	42
47	ZFC3H1	0	0	7
47	USP34	5	2	15
47	FBN2	24	16	37
47	HERC2	17	9	31
47	AGPS	0	0	7
47	BRCA2	0	0	7
47	FYCO1	4	2	13
47	FRY	0	0	8
47	FZD4	0	0	7
47	IGF2R	2	1	9
47	NKTR	0	0	5
47	USP9X	4	2	14
47	KIAA1462	2	1	9
47	PRPF8	40	28	56
47	TEAD1	6	3	14
47	VPS13D	2	1	11
47	DSEL	0	0	6
47	PIK3CA	0	0	7
47	QSER1	0	0	8
47	NR4A1	2	1	10
47	CENPF	0	0	6
47	ATP11A	0	0	7
47	PIEZO1	0	0	6
47	CEP250	0	0	7
47	DNAJC13	4	2	12
47	AKAP11	0	0	7
47	CASC5	0	0	7
47	KIDINS220	7	3	18
47	FASN	5	2	15
47	NUP98	7	3	18
47	STARD9	0	0	7
47	TNC	0	0	5
47	GPR107	0	0	5
47	HIVEP1	2	1	10
47	HELZ2	0	0	7
47	SMARCA5	2	1	9
47	KPNA4	2	1	10
47	SVEP1	8	4	18
47	MAN1A2	0	0	7
47	TPR	8	4	19
47	VPS13A	2	1	10
47	THSD4	0	0	6
47	FBN1	14	8	25
47	C17orf51	2	1	9
47	NUMA1	15	8	30
47	COL7A1	4	2	13
47	PTPN14	20	12	34
47	LRP1	31	21	47
47	UBR2	0	0	8
47	REV3L	0	0	6
47	KIAA1147	0	0	8
47	PRKCA	7	3	18
47	NF1	2	1	11
47	DOCK7	4	2	13
47	CKAP5	23	14	38
47	AFF4	2	1	11
47	USP24	0	0	7
47	NRIP1	0	0	6
47	ARL10	0	0	7
47	DIEXF	0	0	6
47	KIAA1199	9	5	19
47	H6PD	2	1	10
47	AMOTL1	5	2	15
47	AFAP1	0	0	7
47	CBX5	2	1	9
47	MALAT1	0	0	5
47	ASCC3	9	4	20
47	IQGAP1	22	14	34
47	RAB3B	0	0	6
47	FAM208B	0	0	7
47	SPTAN1	83	66	106
47	DOPEY1	0	0	7
47	HEATR5B	0	0	7
47	SSH1	0	0	6
47	SCUBE3	4	2	13
47	TMOD2	0	0	6
47	ITGA2	0	0	6
47	MYH10	14	8	24
47	PLXNA1	0	0	6
47	FOSB	2	1	9
47	THBS1	110	93	131
47	UBR5	8	4	17
47	ZKSCAN2	0	0	6
47	ABCA2	0	0	6
47	ALPK2	0	0	6
47	SON	11	5	22
47	COL5A1	46	33	64
47	EGFR	0	0	6
47	CACNA1A	0	0	7
47	PDS5A	0	0	7
47	VCAN	34	24	50
47	C14orf132	0	0	6
47	MED14	2	1	10
47	GTF3C1	6	3	15
47	ZC3H13	4	2	13
47	SLC7A11	0	0	6
47	KIAA2018	0	0	6
47	CREBBP	16	9	30
47	FLNB	4	2	14
47	SPTBN1	20	12	32
47	SRRM2	10	5	21
47	LYST	0	0	7
47	GTF3C4	0	0	6
47	FLNC	18	11	31
47	MKI67	0	0	5
47	SLC5A3	0	0	6
47	NOTCH2	4	2	14
47	HIVEP2	0	0	7
47	SLC38A1	0	0	6
47	CHD8	5	2	16
47	CBL	2	1	11
47	LUZP1	0	0	7
47	TNRC6A	4	2	13
47	LMTK2	0	0	8
65	MYH10	4	2	11
65	SPTAN1	22	13	35
65	ABCA2	0	0	6
65	PDS5A	0	0	7
65	FRY	0	0	8
65	FOSB	0	0	6
65	SMARCA5	0	0	5
65	AMOTL1	0	0	7
65	VPS13D	0	0	7
65	NOTCH2	2	1	10
65	ZFC3H1	0	0	7
65	ALMS1	4	2	14
65	SCUBE3	0	0	6
65	ASCC3	4	2	14
65	NUP98	0	0	7
65	DIEXF	0	0	6
65	H6PD	0	0	6
65	UBR2	0	0	8
65	ARL10	0	0	7
65	SLC7A11	0	0	6
65	CBL	0	0	7
65	PRKDC	9	4	20
65	TNRC6A	0	0	6
65	DSEL	0	0	6
65	FASN	0	0	7
65	DIP2B	2	1	11
65	COL5A1	8	4	19
65	THSD4	0	0	6
65	KPNA4	2	1	10
65	ATP11A	0	0	7
65	PIK3CA	4	2	14
65	SLC5A3	0	0	6
65	REV3L	0	0	6
65	UBR5	0	0	5
65	VCAN	0	0	5
65	KIAA1199	118	98	142
65	USP34	0	0	7
65	PLXNA1	0	0	6
65	HELZ2	0	0	7
65	HIVEP2	0	0	7
65	RAB3B	0	0	6
65	C17orf51	0	0	6
65	MAN1A2	0	0	7
65	MKI67	0	0	5
65	KIAA2018	0	0	6
65	PHIP	0	0	7
65	HEATR5B	0	0	7
65	PRPF8	14	8	26
65	USP24	0	0	7
65	PAPPA	0	0	6
65	FLNB	16	9	30
65	GPR107	0	0	5
65	COL7A1	0	0	6
65	MALAT1	0	0	5
65	POLQ	0	0	7
65	ITGA2	0	0	6
65	NRIP1	0	0	6
65	BRCA2	0	0	7
65	CHD8	0	0	8
65	GTF3C1	4	2	12
65	LYST	0	0	7
65	KIAA1462	4	2	12
65	TPR	2	1	9
65	AKAP11	0	0	7
65	C14orf132	4	2	12
65	MED14	0	0	6
65	USP9X	0	0	6
65	KIDINS220	4	2	14
65	PTPN14	2	1	10
65	NUMA1	13	6	26
65	AGPS	0	0	7
65	KIAA1147	0	0	8
65	CASC5	0	0	7
65	SRRM2	17	10	29
65	STARD9	0	0	7
65	NR4A1	0	0	6
65	PRKCA	2	1	11
65	PCNX	0	0	6
65	VPS13A	0	0	6
65	FYCO1	0	0	6
65	SPTBN1	24	16	37
65	PRRC2B	10	5	21
65	FBN2	6	3	14
65	DOCK7	2	1	10
65	LMTK2	0	0	8
65	QSER1	0	0	8
65	HIVEP1	4	2	13
65	SIPA1L3	4	2	13
65	LUZP1	0	0	7
65	AFAP1	0	0	7
65	DYNC1H1	35	24	51
65	CACNA1A	0	0	7
65	GTF3C4	0	0	6
65	RNF169	0	0	7
65	FLNA	57	43	75
65	ZC3H13	2	1	10
65	DOPEY1	0	0	7
65	TNC	2	1	9
65	CBX5	0	0	5
65	CKAP5	7	3	17
65	SLC38A1	0	0	6
65	CEP250	12	6	25
65	ANKRD52	0	0	6
65	NF1	2	1	11
65	ALPK2	6	3	16
65	SON	11	5	22
65	SSH1	4	2	13
65	NKTR	0	0	5
65	CENPF	0	0	6
65	SVEP1	0	0	5
65	DIP2C	2	1	10
65	CREBBP	16	9	30
65	FLNC	4	2	12
65	THBS1	0	0	4
65	TMOD2	0	0	6
65	EGFR	0	0	6
65	ROCK2	6	3	14
65	AFF4	0	0	7
65	TEAD1	0	0	5
65	PIEZO1	0	0	6
65	FAM208B	4	2	14
65	FBN1	18	11	30
65	HERC2	2	1	11
65	ZKSCAN2	2	1	10
65	FZD4	0	0	7
65	IGF2R	6	3	15
65	TLN1	8	4	19
65	DNAJC13	10	5	21
65	IQGAP1	2	1	8
65	LRP1	20	12	33
12	ATP11A	2	1	11
12	HIVEP2	0	0	7
12	MYH10	10	5	19
12	DNAJC13	4	2	12
12	GPR107	2	1	9
12	FYCO1	0	0	6
12	KIAA1147	0	0	8
12	DOPEY1	0	0	7
12	ASCC3	14	7	26
12	DIP2B	0	0	7
12	LMTK2	0	0	8
12	LYST	0	0	7
12	FLNC	23	14	36
12	HIVEP1	4	2	13
12	ABCA2	2	1	10
12	SIPA1L3	6	3	16
12	PTPN14	0	0	6
12	EGFR	11	5	22
12	PRKDC	0	0	6
12	DOCK7	4	2	13
12	CREBBP	4	2	14
12	FRY	0	0	8
12	TLN1	35	24	52
12	SRRM2	10	5	21
12	KIAA1462	15	8	26
12	SVEP1	6	3	15
12	TNRC6A	9	4	20
12	NOTCH2	2	1	10
12	ITGA2	0	0	6
12	HEATR5B	0	0	7
12	DYNC1H1	48	35	66
12	KIAA2018	2	1	10
12	UBR2	0	0	8
12	NUMA1	2	1	12
12	USP9X	2	1	10
12	UBR5	0	0	5
12	NR4A1	0	0	6
12	C17orf51	0	0	6
12	PRRC2B	17	10	29
12	SLC7A11	4	2	13
12	PRKCA	2	1	11
12	NRIP1	0	0	6
12	QSER1	0	0	8
12	CBL	4	2	15
12	FBN2	88	71	110
12	TNC	0	0	5
12	HELZ2	0	0	7
12	SMARCA5	14	8	26
12	PAPPA	0	0	6
12	PDS5A	2	1	11
12	FLNB	9	4	20
12	PIK3CA	0	0	7
12	DIP2C	0	0	6
12	ARL10	0	0	7
12	SLC5A3	0	0	6
12	H6PD	0	0	6
12	SPTBN1	44	32	60
12	KIDINS220	0	0	6
12	MKI67	0	0	5
12	RAB3B	2	1	10
12	POLQ	0	0	7
12	DIEXF	2	1	10
12	VCAN	0	0	5
12	FLNA	213	185	245
12	PIEZO1	0	0	6
12	BRCA2	0	0	7
12	THSD4	4	2	13
12	ROCK2	8	4	17
12	FZD4	0	0	7
12	CKAP5	2	1	10
12	SLC38A1	0	0	6
12	CENPF	0	0	6
12	KIAA1199	7	4	16
12	DSEL	0	0	6
12	MALAT1	2	1	9
12	TMOD2	0	0	6
12	GTF3C1	4	2	12
12	ALMS1	0	0	6
12	REV3L	2	1	10
12	CASC5	0	0	7
12	AFAP1	0	0	7
12	PRPF8	50	37	68
12	AKAP11	0	0	7
12	C14orf132	2	1	9
12	CHD8	0	0	8
12	STARD9	0	0	7
12	CACNA1A	7	3	18
12	COL7A1	0	0	6
12	GTF3C4	0	0	6
12	CEP250	2	1	11
12	AFF4	2	1	11
12	LRP1	15	9	28
12	USP34	0	0	7
12	TEAD1	0	0	5
12	SON	15	8	28
12	IGF2R	0	0	5
12	ANKRD52	15	8	27
12	TPR	2	1	9
