feat	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52
ABCA2	1.6363636363636365	1.6363636363636365	9.0	1.6363636363636365	0.0	0.0	0.0	1.6363636363636365	1.6363636363636365	3.272727272727273	1.6363636363636365	0.0	3.272727272727273	1.6363636363636365	1.6363636363636365	3.272727272727273	3.272727272727273	1.6363636363636365	3.272727272727273	1.6363636363636365	1.6363636363636365	0.0	0.0	1.6363636363636365	0.0	0.0	0.0	0.0	1.6363636363636365	1.6363636363636365	1.6363636363636365	0.0	0.0	5.7272727272727275	0.0	1.6363636363636365	0.0	1.6363636363636365	1.6363636363636365	0.0	3.272727272727273	3.272727272727273	1.6363636363636365	3.272727272727273	0.0	0.0	0.0	0.0	5.7272727272727275	0.0	7.363636363636364	0.0	0.0
AFAP1	50.727272727272734	44.18181818181819	48.27272727272727	28.636363636363637	50.727272727272734	8.181818181818182	19.636363636363637	1.6363636363636365	53.18181818181819	59.727272727272734	8.181818181818182	19.636363636363637	17.181818181818183	53.18181818181819	40.09090909090909	153.81818181818184	48.27272727272727	17.181818181818183	1.6363636363636365	15.545454545454547	31.090909090909093	1.6363636363636365	40.09090909090909	4.090909090909091	26.181818181818183	8.181818181818182	84.27272727272728	13.090909090909092	19.636363636363637	50.727272727272734	10.636363636363637	1.6363636363636365	19.636363636363637	68.72727272727273	4.090909090909091	41.72727272727273	66.27272727272728	41.72727272727273	41.72727272727273	23.72727272727273	19.636363636363637	0.0	22.090909090909093	13.090909090909092	8.181818181818182	10.636363636363637	26.181818181818183	19.636363636363637	22.090909090909093	15.545454545454547	0.0	4.090909090909091	0.0
AFF4	22.090909090909093	25.363636363636367	40.09090909090909	19.636363636363637	22.090909090909093	29.454545454545457	23.72727272727273	25.363636363636367	15.545454545454547	23.72727272727273	15.545454545454547	25.363636363636367	19.636363636363637	36.0	15.545454545454547	33.54545454545455	36.0	25.363636363636367	23.72727272727273	25.363636363636367	40.09090909090909	9.818181818181818	58.09090909090909	5.7272727272727275	1.6363636363636365	54.0	3.272727272727273	9.818181818181818	3.272727272727273	25.363636363636367	23.72727272727273	9.818181818181818	22.090909090909093	49.909090909090914	18.0	0.0	31.90909090909091	37.63636363636364	37.63636363636364	47.45454545454546	11.454545454545455	5.7272727272727275	22.090909090909093	23.72727272727273	18.0	13.90909090909091	31.90909090909091	5.7272727272727275	7.363636363636364	13.90909090909091	13.90909090909091	5.7272727272727275	22.090909090909093
AGPS	0.0	4.909090909090909	7.363636363636364	2.4545454545454546	7.363636363636364	0.0	0.0	7.363636363636364	0.0	2.4545454545454546	0.0	0.0	0.0	14.727272727272728	24.545454545454547	4.909090909090909	0.0	0.0	0.0	0.0	2.4545454545454546	0.0	2.4545454545454546	0.0	0.0	2.4545454545454546	4.909090909090909	0.0	2.4545454545454546	0.0	0.0	0.0	0.0	0.0	0.0	2.4545454545454546	49.09090909090909	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.4545454545454546	2.4545454545454546	0.0	2.4545454545454546	0.0	0.0	0.0	0.0	0.0
AKAP11	0.0	7.363636363636364	2.4545454545454546	2.4545454545454546	4.909090909090909	2.4545454545454546	9.818181818181818	0.0	0.0	0.0	0.0	0.0	0.0	2.4545454545454546	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.4545454545454546	0.0	0.0	4.909090909090909	2.4545454545454546	2.4545454545454546	0.0	0.0	4.909090909090909	0.0	2.4545454545454546	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.909090909090909	0.0	0.0	0.0	2.4545454545454546	0.0	0.0	0.0
ALMS1	0.0	0.0	22.90909090909091	7.363636363636364	1.6363636363636365	0.0	5.7272727272727275	0.0	1.6363636363636365	3.272727272727273	0.0	5.7272727272727275	18.81818181818182	3.272727272727273	1.6363636363636365	0.0	5.7272727272727275	0.0	0.0	1.6363636363636365	0.0	0.0	1.6363636363636365	0.0	1.6363636363636365	0.0	1.6363636363636365	0.0	0.0	0.0	3.272727272727273	0.0	0.0	0.0	0.0	0.0	7.363636363636364	3.272727272727273	0.0	0.0	0.0	0.0	1.6363636363636365	3.272727272727273	7.363636363636364	0.0	0.0	0.0	0.0	0.0	1.6363636363636365	0.0	0.0
ALPK2	15.545454545454547	5.7272727272727275	103.90909090909092	30.272727272727273	26.181818181818183	19.636363636363637	40.09090909090909	15.545454545454547	18.0	5.7272727272727275	3.272727272727273	9.818181818181818	0.0	5.7272727272727275	36.0	19.636363636363637	5.7272727272727275	3.272727272727273	1.6363636363636365	9.818181818181818	9.818181818181818	11.454545454545455	46.63636363636364	9.818181818181818	18.0	3.272727272727273	18.0	15.545454545454547	15.545454545454547	48.27272727272727	56.45454545454546	7.363636363636364	23.72727272727273	9.818181818181818	11.454545454545455	13.90909090909091	109.63636363636364	85.0909090909091	79.36363636363637	9.818181818181818	1.6363636363636365	5.7272727272727275	15.545454545454547	44.18181818181819	3.272727272727273	11.454545454545455	13.90909090909091	3.272727272727273	18.0	3.272727272727273	3.272727272727273	9.818181818181818	3.272727272727273
AMOTL1	13.90909090909091	18.0	27.0	18.0	28.636363636363637	20.454545454545457	35.18181818181819	16.363636363636363	36.81818181818182	24.545454545454547	16.363636363636363	16.363636363636363	9.818181818181818	22.090909090909093	36.81818181818182	43.36363636363637	32.72727272727273	12.272727272727273	40.909090909090914	24.545454545454547	22.090909090909093	22.090909090909093	59.727272727272734	22.090909090909093	20.454545454545457	20.454545454545457	9.818181818181818	9.818181818181818	28.636363636363637	8.181818181818182	47.45454545454546	4.090909090909091	39.27272727272727	35.18181818181819	12.272727272727273	22.090909090909093	39.27272727272727	28.636363636363637	70.36363636363637	13.90909090909091	4.090909090909091	18.0	4.090909090909091	66.27272727272728	24.545454545454547	20.454545454545457	66.27272727272728	16.363636363636363	36.81818181818182	22.090909090909093	13.90909090909091	13.90909090909091	5.7272727272727275
ANKRD52	18.81818181818182	4.090909090909091	14.727272727272728	5.7272727272727275	0.0	1.6363636363636365	8.181818181818182	14.727272727272728	10.636363636363637	8.181818181818182	5.7272727272727275	10.636363636363637	0.0	40.909090909090914	5.7272727272727275	21.272727272727273	8.181818181818182	8.181818181818182	8.181818181818182	5.7272727272727275	8.181818181818182	14.727272727272728	12.272727272727273	18.81818181818182	17.181818181818183	5.7272727272727275	8.181818181818182	0.0	5.7272727272727275	12.272727272727273	17.181818181818183	1.6363636363636365	0.0	0.0	12.272727272727273	31.90909090909091	4.090909090909091	0.0	8.181818181818182	21.272727272727273	10.636363636363637	1.6363636363636365	10.636363636363637	30.272727272727273	4.090909090909091	8.181818181818182	1.6363636363636365	10.636363636363637	12.272727272727273	0.0	10.636363636363637	5.7272727272727275	4.090909090909091
ARL10	0.0	1.6363636363636365	1.6363636363636365	0.0	0.0	0.0	1.6363636363636365	0.0	0.0	0.0	1.6363636363636365	6.545454545454546	0.0	0.0	0.0	0.0	1.6363636363636365	0.0	0.0	0.0	0.0	0.0	1.6363636363636365	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6363636363636365	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.090909090909091	0.0	0.0	0.0	1.6363636363636365	0.0	0.0
