feat	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
ASCC3	4.224489795918368	2.816326530612245	1.4081632653061225	1.4081632653061225	11.26530612244898	4.224489795918368	0.0	4.224489795918368	4.224489795918368	4.224489795918368	0.0	1.4081632653061225	9.857142857142858	5.63265306122449	1.4081632653061225	2.816326530612245	15.489795918367347	1.4081632653061225	2.816326530612245	0.0	0.0	1.4081632653061225	0.0	1.4081632653061225	0.0	2.816326530612245	0.0	2.816326530612245	1.4081632653061225	8.448979591836736	11.26530612244898	2.816326530612245	1.4081632653061225	2.816326530612245	5.63265306122449	8.448979591836736	0.0	5.63265306122449	5.63265306122449	5.63265306122449	9.857142857142858	18.306122448979593	11.26530612244898	1.4081632653061225	0.0	2.816326530612245	2.816326530612245	1.4081632653061225	5.63265306122449	0.0	5.63265306122449	1.4081632653061225	4.224489795918368	5.63265306122449	0.0	2.816326530612245	4.224489795918368	1.4081632653061225	1.4081632653061225	11.26530612244898	1.4081632653061225	1.4081632653061225	5.63265306122449	4.224489795918368	0.0	0.0	2.816326530612245	8.448979591836736	2.816326530612245	5.63265306122449	2.816326530612245	4.224489795918368	16.89795918367347	4.224489795918368	1.4081632653061225	1.4081632653061225	2.816326530612245	1.4081632653061225	11.26530612244898	1.4081632653061225	4.224489795918368	5.63265306122449	4.224489795918368	2.816326530612245	1.4081632653061225	0.0	0.0	0.0	2.816326530612245	2.816326530612245	4.224489795918368	1.4081632653061225	5.63265306122449	0.0	2.816326530612245	5.63265306122449	8.448979591836736	1.4081632653061225	2.816326530612245	1.4081632653061225	4.224489795918368
ATP11A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4081632653061225	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4081632653061225	0.0	1.4081632653061225	1.4081632653061225	0.0	0.0	1.4081632653061225	2.816326530612245	0.0	0.0	2.816326530612245	0.0	1.4081632653061225	0.0	0.0	1.4081632653061225	0.0	2.816326530612245	0.0	2.816326530612245	0.0	0.0	0.0	0.0	1.4081632653061225	0.0	2.816326530612245	0.0	0.0	1.4081632653061225	2.816326530612245	1.4081632653061225	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.816326530612245	0.0	1.4081632653061225	1.4081632653061225	0.0	0.0	0.0	0.0	0.0	0.0	4.224489795918368	0.0	4.224489795918368	1.4081632653061225	1.4081632653061225	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4081632653061225	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.816326530612245	0.0	4.224489795918368	0.0	1.4081632653061225	0.0	1.4081632653061225	0.0	0.0	0.0
BRCA2	0.0	0.0	1.4081632653061225	0.0	0.0	0.0	0.0	2.816326530612245	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4081632653061225	0.0	0.0	0.0	0.0	0.0	0.0	1.4081632653061225	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.816326530612245	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4081632653061225	1.4081632653061225	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4081632653061225	0.0	0.0	0.0	0.0	1.4081632653061225	0.0	0.0	0.0	1.4081632653061225	0.0
C14orf132	0.0	0.0	0.0	0.0	1.4081632653061225	0.0	0.0	0.0	2.816326530612245	1.4081632653061225	5.63265306122449	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4081632653061225	1.4081632653061225	0.0	0.0	0.0	0.0	0.0	0.0	1.4081632653061225	0.0	1.4081632653061225	1.4081632653061225	0.0	0.0	0.0	1.4081632653061225	1.4081632653061225	0.0	0.0	0.0	0.0	1.4081632653061225	0.0	0.0	2.816326530612245	0.0	2.816326530612245	0.0	0.0	0.0	1.4081632653061225	0.0	0.0	0.0	0.0	2.816326530612245	0.0	1.4081632653061225	0.0	2.816326530612245	0.0	2.816326530612245	0.0	0.0	2.816326530612245	0.0	0.0	0.0	5.63265306122449	4.224489795918368	1.4081632653061225	0.0	0.0	1.4081632653061225	1.4081632653061225	0.0	0.0	0.0	0.0	1.4081632653061225	0.0	0.0	0.0	2.816326530612245	0.0	2.816326530612245	4.224489795918368	0.0	0.0	0.0	0.0	0.0
C17orf51	0.0	0.0	0.0	0.0	1.4081632653061225	0.0	4.224489795918368	0.0	2.816326530612245	4.224489795918368	0.0	1.4081632653061225	0.0	1.4081632653061225	0.0	0.0	2.816326530612245	1.4081632653061225	2.816326530612245	0.0	0.0	0.0	1.4081632653061225	0.0	0.0	2.816326530612245	1.4081632653061225	1.4081632653061225	0.0	1.4081632653061225	4.224489795918368	0.0	0.0	0.0	1.4081632653061225	1.4081632653061225	0.0	1.4081632653061225	0.0	1.4081632653061225	0.0	4.224489795918368	1.4081632653061225	0.0	1.4081632653061225	4.224489795918368	1.4081632653061225	0.0	0.0	0.0	1.4081632653061225	4.224489795918368	1.4081632653061225	0.0	0.0	0.0	0.0	0.0	0.0	1.4081632653061225	5.63265306122449	0.0	0.0	0.0	2.816326530612245	1.4081632653061225	1.4081632653061225	0.0	1.4081632653061225	0.0	1.4081632653061225	0.0	0.0	2.816326530612245	1.4081632653061225	0.0	0.0	4.224489795918368	1.4081632653061225	0.0	0.0	0.0	1.4081632653061225	0.0	1.4081632653061225	0.0	1.4081632653061225	2.816326530612245	0.0	0.0	0.0	1.4081632653061225	5.63265306122449	0.0	0.0	2.816326530612245	0.0	0.0	0.0	1.4081632653061225	2.816326530612245
CACNA1A	2.816326530612245	4.224489795918368	5.63265306122449	0.0	0.0	1.4081632653061225	0.0	0.0	0.0	0.0	0.0	0.0	1.4081632653061225	0.0	0.0	0.0	0.0	0.0	1.4081632653061225	0.0	0.0	0.0	1.4081632653061225	0.0	0.0	0.0	2.816326530612245	5.63265306122449	0.0	4.224489795918368	0.0	0.0	1.4081632653061225	0.0	1.4081632653061225	1.4081632653061225	0.0	0.0	0.0	0.0	8.448979591836736	1.4081632653061225	2.816326530612245	0.0	0.0	4.224489795918368	0.0	0.0	0.0	1.4081632653061225	1.4081632653061225	0.0	1.4081632653061225	1.4081632653061225	0.0	2.816326530612245	0.0	0.0	1.4081632653061225	1.4081632653061225	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4081632653061225	0.0	2.816326530612245	1.4081632653061225	0.0	1.4081632653061225	0.0	0.0	1.4081632653061225	0.0	0.0	0.0	2.816326530612245	0.0	0.0	0.0	0.0	0.0	0.0	1.4081632653061225	0.0	1.4081632653061225	0.0	0.0	0.0	0.0	1.4081632653061225	1.4081632653061225	0.0	1.4081632653061225	0.0
CASC5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4081632653061225	1.4081632653061225	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4081632653061225	0.0	0.0	0.0	0.0	1.4081632653061225	0.0	0.0	0.0	0.0	1.4081632653061225	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4081632653061225	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4081632653061225	0.0	1.4081632653061225	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4081632653061225	0.0	1.4081632653061225	0.0	0.0	0.0	0.0	0.0	1.4081632653061225
CBL	1.4081632653061225	0.0	0.0	0.0	0.0	0.0	0.0	1.4081632653061225	0.0	0.0	0.0	0.0	0.0	1.4081632653061225	0.0	0.0	0.0	0.0	1.4081632653061225	0.0	0.0	1.4081632653061225	1.4081632653061225	0.0	0.0	0.0	0.0	1.4081632653061225	0.0	0.0	0.0	0.0	0.0	0.0	2.816326530612245	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.816326530612245	1.4081632653061225	0.0	0.0	0.0	1.4081632653061225	0.0	0.0	4.224489795918368	1.4081632653061225	0.0	1.4081632653061225	0.0	0.0	0.0	0.0	1.4081632653061225	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4081632653061225	4.224489795918368	0.0	4.224489795918368	0.0	1.4081632653061225	0.0	2.816326530612245	1.4081632653061225	0.0	0.0	0.0	0.0	1.4081632653061225	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CBX5	0.0	0.0	4.224489795918368	0.0	0.0	0.0	7.040816326530612	1.4081632653061225	4.224489795918368	1.4081632653061225	4.224489795918368	8.448979591836736	1.4081632653061225	0.0	1.4081632653061225	1.4081632653061225	1.4081632653061225	1.4081632653061225	8.448979591836736	0.0	0.0	1.4081632653061225	1.4081632653061225	0.0	1.4081632653061225	2.816326530612245	0.0	21.122448979591837	0.0	1.4081632653061225	4.224489795918368	0.0	1.4081632653061225	0.0	2.816326530612245	2.816326530612245	0.0	4.224489795918368	1.4081632653061225	1.4081632653061225	0.0	14.081632653061224	14.081632653061224	0.0	0.0	4.224489795918368	2.816326530612245	2.816326530612245	0.0	0.0	1.4081632653061225	0.0	1.4081632653061225	7.040816326530612	1.4081632653061225	0.0	7.040816326530612	0.0	1.4081632653061225	14.081632653061224	1.4081632653061225	1.4081632653061225	7.040816326530612	1.4081632653061225	7.040816326530612	0.0	4.224489795918368	7.040816326530612	4.224489795918368	0.0	0.0	2.816326530612245	21.122448979591837	4.224489795918368	2.816326530612245	7.040816326530612	16.89795918367347	2.816326530612245	8.448979591836736	1.4081632653061225	0.0	4.224489795918368	4.224489795918368	1.4081632653061225	1.4081632653061225	4.224489795918368	1.4081632653061225	9.857142857142858	2.816326530612245	1.4081632653061225	0.0	4.224489795918368	11.26530612244898	9.857142857142858	1.4081632653061225	8.448979591836736	2.816326530612245	9.857142857142858	0.0	2.816326530612245	0.0
CENPF	2.816326530612245	0.0	0.0	0.0	1.4081632653061225	1.4081632653061225	2.816326530612245	1.4081632653061225	0.0	0.0	1.4081632653061225	1.4081632653061225	1.4081632653061225	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.816326530612245	0.0	0.0	0.0	0.0	2.816326530612245	0.0	1.4081632653061225	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.816326530612245	0.0	0.0	0.0	0.0	2.816326530612245	4.224489795918368	0.0	0.0	0.0	0.0	0.0	1.4081632653061225	1.4081632653061225	0.0	0.0	1.4081632653061225	0.0	0.0	0.0	0.0	0.0	1.4081632653061225	2.816326530612245	0.0	1.4081632653061225	2.816326530612245	0.0	0.0	1.4081632653061225	0.0	4.224489795918368	1.4081632653061225	0.0	0.0	1.4081632653061225	1.4081632653061225	1.4081632653061225	0.0	1.4081632653061225	1.4081632653061225	1.4081632653061225	0.0	0.0	0.0	1.4081632653061225	0.0	0.0	1.4081632653061225	0.0	0.0	0.0	1.4081632653061225	0.0	4.224489795918368	0.0	0.0	0.0	0.0	4.224489795918368
