feat	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
CACNA1A	7.5	9.75	5.25	3.0	3.75	5.25	1.5	0.75	1.5	4.5	2.25	0.75	0.0	3.0	6.0	2.25	0.75	0.75	8.25	5.25	6.0	1.5	8.25	2.25	5.25	1.5	4.5	0.0	0.0	4.5	0.75	2.25	1.5	1.5	1.5	1.5	0.0	0.0	1.5	0.75	0.75	2.25	0.0	6.0	3.75	8.25	2.25	1.5	1.5	6.75
CASC5	0.0	1.5	2.25	1.5	0.75	0.75	0.75	6.75	1.5	0.75	1.5	5.25	0.0	0.0	0.75	3.0	2.25	0.75	0.75	0.0	3.75	0.0	2.25	1.5	0.0	1.5	0.75	0.0	0.75	3.0	1.5	1.5	0.0	2.25	0.75	4.5	0.0	0.0	0.75	0.0	0.0	0.0	0.75	0.0	0.0	0.0	0.0	2.25	1.5	0.75
CBL	2.25	6.75	5.25	3.75	1.5	6.0	0.75	6.0	1.5	0.75	4.5	4.5	5.25	0.0	2.25	2.25	0.75	3.0	1.5	5.25	2.25	5.25	1.5	6.75	0.75	1.5	0.75	0.75	2.25	3.0	0.0	2.25	0.75	2.25	0.75	4.5	1.5	0.75	7.5	7.5	5.25	1.5	0.0	3.75	0.0	5.25	3.75	3.75	2.25	1.5
CBX5	3.75	6.75	4.5	8.25	10.5	6.0	5.25	18.0	5.25	2.25	6.0	9.0	4.5	2.25	4.5	10.5	9.75	6.75	6.0	5.25	15.75	8.25	3.0	5.25	2.25	1.5	2.25	3.0	4.5	14.25	9.0	9.0	0.75	5.25	4.5	5.25	4.5	0.75	6.75	2.25	6.75	0.0	0.0	12.75	1.5	13.5	2.25	5.25	9.0	6.75
CENPF	4.5	4.5	2.25	4.5	4.5	10.5	0.75	43.5	2.25	1.5	0.0	6.0	0.0	2.25	6.0	0.0	6.0	0.75	0.0	0.75	8.25	2.25	6.0	5.25	1.5	0.75	0.0	2.25	0.75	1.5	0.0	0.75	1.5	1.5	0.0	4.5	0.0	0.0	0.0	1.5	0.0	0.0	0.75	1.5	0.75	8.25	1.5	4.5	0.75	2.25
CEP250	2.25	4.5	1.5	0.0	6.0	5.25	9.75	4.5	2.25	5.25	2.25	5.25	7.5	9.0	6.75	1.5	0.75	3.75	5.25	1.5	12.75	7.5	8.25	3.75	4.5	4.5	4.5	0.0	9.0	6.75	4.5	6.0	8.25	11.25	0.75	8.25	4.5	5.25	3.75	1.5	8.25	2.25	8.25	15.75	0.0	6.0	1.5	3.75	9.75	4.5
CHD8	4.5	2.25	4.5	2.25	5.25	1.5	5.25	1.5	2.25	6.0	2.25	2.25	1.5	0.0	0.0	3.75	5.25	3.75	0.75	0.75	5.25	6.0	4.5	6.75	9.75	0.75	3.75	2.25	3.0	5.25	2.25	1.5	3.75	2.25	3.75	10.5	5.25	4.5	2.25	4.5	6.0	4.5	4.5	6.0	1.5	8.25	3.75	1.5	0.75	0.75
CKAP5	1.5	18.0	6.0	9.0	14.25	17.25	5.25	30.0	8.25	15.75	10.5	15.0	5.25	12.0	6.0	8.25	12.0	6.0	4.5	8.25	33.75	15.75	6.0	15.75	5.25	6.75	13.5	3.75	13.5	13.5	3.0	12.75	14.25	15.0	7.5	8.25	9.0	9.0	17.25	9.0	12.75	8.25	3.75	16.5	8.25	22.5	4.5	9.0	5.25	5.25
COL5A1	52.5	66.75	67.5	120.0	82.5	44.25	99.0	265.5	174.75	39.75	21.75	174.75	36.75	15.75	137.25	69.0	98.25	57.75	36.0	27.0	36.75	23.25	51.0	39.75	18.0	10.5	120.75	81.75	52.5	18.0	7.5	17.25	36.0	23.25	21.75	48.0	9.0	4.5	39.75	29.25	16.5	8.25	8.25	36.0	12.0	27.75	34.5	87.75	20.25	27.75
COL7A1	0.0	6.75	8.25	6.75	6.75	1.5	3.0	8.25	3.0	2.25	3.75	5.25	4.5	0.75	21.0	4.5	6.0	3.75	9.0	12.0	3.75	1.5	2.25	6.0	5.25	2.25	3.75	3.75	0.0	1.5	1.5	9.75	6.0	1.5	1.5	2.25	2.25	0.0	3.0	1.5	1.5	0.0	0.0	6.75	3.75	3.0	4.5	4.5	3.75	1.5
