feat	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
LRP1	27.75	57.0	95.25	55.5	31.5	54.0	97.5	71.25	54.75	67.5	60.75	24.75	61.5	12.75	80.25	66.75	56.25	42.75	69.75	41.25	118.5	51.75	76.5	99.75	151.5	21.75	54.75	68.25	70.5	94.5	48.0	138.75	42.0	87.0	47.25	206.25	96.75	53.25	102.0	57.0	49.5	12.75	6.0	98.25	47.25	71.25	31.5	81.75	45.0	56.25
LUZP1	3.75	6.75	2.25	3.75	1.5	0.75	2.25	5.25	4.5	3.0	5.25	1.5	5.25	2.25	1.5	3.0	1.5	1.5	2.25	1.5	3.75	0.75	3.75	1.5	2.25	1.5	3.0	1.5	0.75	2.25	0.0	3.0	0.75	0.75	0.0	8.25	3.75	2.25	3.75	2.25	0.75	0.0	1.5	1.5	0.75	5.25	3.75	1.5	2.25	0.0
LYST	3.0	3.0	0.75	0.75	0.0	0.75	1.5	1.5	0.75	1.5	0.0	1.5	0.0	0.0	0.75	3.0	0.0	0.75	0.75	0.75	2.25	2.25	0.75	1.5	0.0	0.0	3.0	0.75	0.0	0.0	2.25	3.75	0.0	1.5	1.5	0.75	0.75	0.0	4.5	0.0	2.25	4.5	0.0	0.75	0.75	0.75	2.25	0.0	0.0	0.0
MALAT1	12.0	16.5	17.25	8.25	10.5	5.25	24.0	20.25	15.75	3.0	0.0	5.25	33.0	9.0	65.25	26.25	0.0	9.75	5.25	0.0	3.0	9.75	6.75	10.5	24.0	1.5	9.0	24.75	20.25	20.25	2.25	10.5	16.5	22.5	13.5	30.0	3.0	1.5	22.5	20.25	0.75	0.0	0.0	12.0	0.0	12.75	6.0	2.25	21.0	6.75
MAN1A2	1.5	10.5	3.75	9.75	9.0	9.0	6.0	6.0	6.75	6.0	1.5	6.0	6.75	6.0	9.0	6.75	9.75	5.25	6.75	3.75	12.0	3.75	5.25	3.0	4.5	0.75	1.5	1.5	6.0	5.25	6.75	5.25	1.5	3.75	4.5	6.75	2.25	1.5	12.75	1.5	2.25	0.75	0.0	6.75	0.75	10.5	0.75	3.0	6.75	9.0
MED14	2.25	3.0	3.0	5.25	3.0	6.75	3.75	6.0	2.25	2.25	0.75	3.0	0.75	0.0	0.75	0.0	0.75	1.5	1.5	4.5	3.75	0.0	2.25	0.75	0.0	0.75	6.0	0.0	1.5	4.5	3.75	3.75	4.5	0.75	1.5	0.75	0.75	0.0	5.25	1.5	1.5	4.5	0.75	6.0	3.0	3.0	3.75	2.25	2.25	1.5
MKI67	0.0	10.5	6.75	1.5	9.75	2.25	8.25	35.25	3.0	0.75	0.0	3.0	5.25	3.0	1.5	1.5	2.25	2.25	0.0	1.5	5.25	2.25	0.75	1.5	0.75	2.25	6.0	0.75	0.75	2.25	1.5	0.75	3.0	0.75	1.5	0.75	0.0	0.75	0.75	0.0	1.5	1.5	0.0	1.5	4.5	9.0	3.0	4.5	5.25	4.5
MYH10	10.5	21.0	27.75	34.5	56.25	19.5	27.0	49.5	22.5	7.5	27.0	17.25	12.75	14.25	36.75	15.75	17.25	26.25	24.75	13.5	36.75	15.75	18.75	21.0	15.75	26.25	21.75	5.25	13.5	21.0	12.0	24.75	15.75	14.25	12.75	18.75	5.25	9.75	27.75	25.5	8.25	5.25	6.0	29.25	10.5	33.75	24.75	15.75	28.5	21.0
NF1	1.5	13.5	6.0	5.25	6.0	8.25	2.25	5.25	3.0	11.25	3.75	1.5	1.5	1.5	6.75	1.5	9.0	9.75	2.25	5.25	8.25	10.5	6.0	15.0	2.25	0.75	6.0	2.25	2.25	4.5	0.75	4.5	4.5	4.5	0.75	4.5	5.25	0.75	6.0	1.5	4.5	4.5	1.5	5.25	2.25	12.75	9.0	4.5	5.25	0.75
NKTR	2.25	5.25	5.25	0.0	5.25	3.0	0.75	10.5	8.25	1.5	1.5	2.25	6.0	3.0	3.75	1.5	2.25	2.25	13.5	1.5	9.0	6.0	3.75	15.75	4.5	9.0	4.5	9.75	6.75	6.0	10.5	3.75	6.0	2.25	9.0	14.25	7.5	2.25	12.0	4.5	0.75	0.0	0.0	21.75	1.5	1.5	0.0	0.0	15.75	9.0
NOTCH2	10.5	15.75	10.5	5.25	5.25	17.25	15.75	24.75	9.0	6.0	7.5	14.25	8.25	4.5	12.0	9.0	8.25	6.0	12.75	4.5	22.5	16.5	6.0	18.0	6.75	5.25	12.0	7.5	0.0	18.0	7.5	29.25	10.5	6.0	0.75	25.5	9.0	7.5	24.0	5.25	4.5	0.0	3.75	9.0	2.25	24.0	5.25	15.75	2.25	6.0
NR4A1	0.75	6.0	3.0	6.0	6.75	4.5	6.0	5.25	8.25	2.25	3.0	0.75	0.0	2.25	2.25	2.25	2.25	0.75	3.0	1.5	12.75	6.75	3.0	5.25	0.75	0.0	2.25	1.5	2.25	4.5	3.0	5.25	4.5	4.5	2.25	5.25	6.0	1.5	12.75	4.5	2.25	1.5	1.5	9.0	0.75	12.0	2.25	2.25	4.5	4.5
NRIP1	1.5	10.5	5.25	10.5	10.5	6.0	5.25	9.75	7.5	1.5	4.5	6.0	5.25	3.0	4.5	4.5	1.5	4.5	6.0	2.25	2.25	4.5	6.0	8.25	6.0	3.75	3.0	1.5	0.0	5.25	2.25	9.0	3.0	1.5	4.5	8.25	5.25	0.0	4.5	1.5	1.5	0.75	0.75	0.75	0.75	13.5	3.0	2.25	8.25	6.0
NUMA1	12.0	9.75	32.25	12.0	9.0	14.25	18.0	15.75	14.25	3.75	16.5	12.75	8.25	3.75	1.5	24.0	9.0	15.0	12.75	6.75	20.25	21.0	18.0	17.25	13.5	9.0	12.0	9.75	19.5	24.75	6.75	31.5	16.5	21.75	17.25	22.5	20.25	2.25	36.0	17.25	6.75	1.5	1.5	18.0	12.75	38.25	5.25	13.5	12.75	14.25
NUP98	7.5	7.5	5.25	5.25	6.75	12.75	1.5	14.25	3.75	2.25	3.75	6.0	4.5	8.25	6.75	3.0	0.0	8.25	4.5	10.5	12.75	5.25	5.25	6.75	3.75	3.0	2.25	7.5	5.25	5.25	3.0	9.0	4.5	2.25	2.25	6.0	8.25	0.0	6.0	9.0	4.5	2.25	4.5	10.5	1.5	9.75	5.25	5.25	9.0	6.75
PAPPA	13.5	77.25	1.5	21.75	15.75	66.0	9.75	20.25	18.0	81.0	66.0	9.0	39.75	14.25	18.75	36.75	12.75	18.0	34.5	20.25	88.5	78.75	31.5	65.25	32.25	1.5	41.25	27.0	25.5	77.25	33.0	50.25	93.75	38.25	47.25	48.75	94.5	61.5	84.0	10.5	36.75	46.5	2.25	93.0	12.75	53.25	16.5	63.75	29.25	43.5
PCNX	8.25	13.5	9.75	3.75	2.25	4.5	4.5	11.25	5.25	9.75	5.25	4.5	13.5	4.5	8.25	3.75	3.75	5.25	3.75	1.5	13.5	13.5	8.25	5.25	0.75	2.25	15.75	2.25	6.0	11.25	7.5	9.75	13.5	4.5	6.0	5.25	7.5	3.75	13.5	2.25	11.25	3.75	1.5	6.0	0.75	16.5	5.25	12.0	1.5	8.25
PDS5A	4.5	2.25	5.25	6.75	8.25	6.75	4.5	5.25	0.75	2.25	0.75	4.5	1.5	2.25	12.0	2.25	3.75	9.0	1.5	5.25	9.75	9.75	2.25	5.25	4.5	4.5	9.75	1.5	3.75	3.75	4.5	12.0	15.75	3.75	5.25	4.5	5.25	7.5	7.5	3.75	9.75	2.25	0.0	12.75	0.0	8.25	1.5	1.5	8.25	4.5
PHIP	0.75	0.75	4.5	0.0	2.25	0.0	1.5	6.0	1.5	0.0	0.75	0.75	1.5	1.5	1.5	1.5	0.0	0.0	0.0	0.0	0.75	1.5	4.5	2.25	0.75	1.5	1.5	0.75	1.5	3.0	0.75	1.5	1.5	3.0	3.75	0.75	4.5	2.25	2.25	2.25	1.5	0.0	0.0	2.25	0.75	3.75	0.0	0.0	1.5	0.0
PIEZO1	4.5	9.75	4.5	6.75	5.25	5.25	9.0	9.0	6.75	16.5	5.25	9.75	8.25	6.0	9.0	4.5	18.0	5.25	2.25	4.5	15.75	9.75	6.75	3.0	7.5	4.5	10.5	3.75	6.0	1.5	2.25	6.0	21.0	2.25	8.25	8.25	9.75	9.75	14.25	2.25	17.25	12.0	3.75	17.25	2.25	12.75	1.5	9.75	3.75	9.0
PIK3CA	3.0	3.75	1.5	2.25	0.75	0.75	4.5	6.75	6.75	1.5	0.75	4.5	0.75	1.5	1.5	1.5	0.0	0.0	0.75	0.0	6.75	1.5	4.5	1.5	0.75	0.75	0.0	1.5	6.0	2.25	0.75	6.75	1.5	1.5	0.75	1.5	1.5	0.75	2.25	0.75	2.25	0.0	0.75	3.0	0.0	2.25	4.5	6.75	1.5	2.25
PLXNA1	3.75	27.75	12.75	5.25	9.0	12.75	3.0	13.5	4.5	6.0	2.25	13.5	4.5	5.25	6.0	4.5	2.25	7.5	8.25	2.25	12.0	6.0	4.5	12.75	9.0	2.25	9.0	0.0	6.0	17.25	1.5	10.5	12.75	9.0	4.5	7.5	4.5	4.5	4.5	3.0	6.0	1.5	0.75	12.75	0.75	10.5	9.0	9.0	6.75	6.0
POLQ	0.0	0.0	0.75	0.0	0.0	0.75	0.75	1.5	0.0	0.0	0.0	0.0	0.0	0.75	1.5	0.0	1.5	0.75	0.0	0.0	2.25	0.75	0.0	0.75	0.0	0.75	0.0	0.0	0.75	0.0	0.0	1.5	0.75	0.75	1.5	2.25	0.0	0.0	0.75	0.0	0.0	0.75	0.0	0.0	0.0	0.75	0.0	0.75	1.5	3.0
PRKCA	6.75	25.5	10.5	19.5	21.75	23.25	13.5	14.25	12.75	15.75	12.0	20.25	1.5	17.25	9.75	6.0	9.75	14.25	6.75	7.5	42.75	40.5	5.25	12.0	5.25	5.25	16.5	0.75	6.75	17.25	8.25	22.5	7.5	10.5	5.25	9.75	13.5	4.5	16.5	8.25	19.5	9.0	0.0	8.25	3.75	21.0	10.5	18.0	3.0	6.0
PRKDC	6.0	10.5	6.75	4.5	6.75	8.25	4.5	3.75	3.75	3.75	9.0	8.25	9.0	6.75	15.75	6.75	9.0	4.5	3.0	6.0	13.5	9.75	3.75	10.5	9.0	0.75	10.5	3.75	9.75	6.75	1.5	6.0	18.0	2.25	8.25	5.25	3.75	1.5	12.0	15.75	10.5	9.0	1.5	9.75	1.5	9.75	5.25	8.25	3.0	5.25
PRPF8	20.25	33.75	18.0	37.5	33.75	40.5	20.25	38.25	18.75	39.75	21.75	27.0	14.25	9.0	29.25	10.5	28.5	38.25	16.5	27.0	45.0	43.5	33.75	39.0	31.5	14.25	27.75	18.75	21.75	21.0	16.5	29.25	43.5	23.25	17.25	33.75	18.0	14.25	51.75	24.0	24.75	16.5	4.5	36.75	24.0	36.75	6.75	48.75	24.0	19.5
PRRC2B	12.75	10.5	28.5	15.75	21.75	16.5	16.5	13.5	15.75	13.5	16.5	12.0	21.75	10.5	35.25	8.25	15.75	15.0	8.25	15.0	36.75	28.5	17.25	25.5	9.75	8.25	19.5	8.25	9.75	14.25	6.0	41.25	13.5	24.0	17.25	20.25	16.5	12.0	30.0	13.5	12.0	15.75	6.0	25.5	9.75	27.75	9.75	31.5	5.25	17.25
PTPN14	12.0	15.75	12.75	15.0	13.5	9.75	13.5	5.25	7.5	13.5	17.25	8.25	9.75	6.0	9.75	11.25	16.5	7.5	11.25	9.0	20.25	11.25	17.25	24.75	4.5	6.0	15.0	6.0	9.75	13.5	2.25	14.25	11.25	11.25	15.75	21.75	4.5	5.25	27.75	3.75	4.5	6.0	3.75	25.5	5.25	13.5	14.25	12.75	6.75	9.75
QSER1	0.75	5.25	0.75	0.0	0.75	3.0	2.25	3.0	0.0	3.75	0.75	0.75	0.75	0.0	1.5	0.75	2.25	1.5	0.0	2.25	0.75	0.75	1.5	2.25	0.75	0.75	0.0	0.0	3.0	4.5	0.75	2.25	0.0	0.75	0.0	1.5	0.75	0.0	4.5	0.0	0.0	0.0	0.0	0.0	0.75	0.0	0.75	0.0	0.0	0.75
RAB3B	6.75	44.25	10.5	18.75	9.75	4.5	6.0	4.5	7.5	6.0	12.0	18.75	3.75	9.75	17.25	3.75	24.75	8.25	8.25	12.0	34.5	36.0	6.0	9.75	11.25	8.25	13.5	2.25	6.0	24.0	1.5	16.5	5.25	10.5	5.25	6.0	3.75	0.0	20.25	5.25	44.25	9.0	13.5	8.25	14.25	45.0	0.75	29.25	3.0	8.25
REV3L	5.25	1.5	5.25	0.75	5.25	2.25	5.25	0.75	1.5	3.75	2.25	4.5	5.25	2.25	3.0	0.75	2.25	2.25	1.5	1.5	8.25	5.25	4.5	8.25	0.0	1.5	2.25	4.5	0.75	8.25	6.0	3.0	5.25	8.25	13.5	8.25	7.5	1.5	8.25	2.25	8.25	4.5	1.5	7.5	3.75	3.0	5.25	3.75	5.25	6.75
RNF169	2.25	2.25	2.25	0.0	0.75	0.75	2.25	1.5	1.5	0.75	0.75	2.25	0.0	2.25	0.0	0.75	0.0	0.75	1.5	0.0	0.75	4.5	2.25	9.0	0.0	4.5	1.5	2.25	0.0	6.0	3.0	1.5	3.75	2.25	2.25	9.75	0.0	0.75	8.25	0.75	5.25	0.0	0.75	0.0	2.25	5.25	0.0	1.5	4.5	2.25
ROCK2	9.75	9.0	5.25	8.25	21.0	10.5	3.0	14.25	9.75	16.5	13.5	5.25	21.75	4.5	13.5	7.5	10.5	6.75	7.5	9.75	37.5	7.5	7.5	9.0	14.25	5.25	12.0	6.75	5.25	9.0	3.0	13.5	9.0	17.25	15.75	12.75	6.0	9.0	21.75	17.25	13.5	9.75	5.25	12.0	12.0	12.75	12.0	5.25	9.75	12.0
SCUBE3	15.75	33.75	4.5	29.25	4.5	11.25	4.5	4.5	24.0	18.75	9.0	9.75	2.25	2.25	13.5	3.75	9.0	8.25	4.5	0.75	6.0	1.5	0.75	0.75	9.0	3.75	7.5	1.5	0.0	4.5	1.5	3.75	9.75	2.25	1.5	4.5	0.75	1.5	4.5	0.75	1.5	2.25	0.0	5.25	11.25	9.75	9.0	9.75	1.5	6.0
SIPA1L3	3.75	9.0	4.5	0.75	3.75	2.25	9.75	8.25	5.25	2.25	6.0	4.5	4.5	1.5	9.75	0.75	14.25	3.75	3.0	8.25	7.5	3.75	3.75	6.0	4.5	1.5	5.25	2.25	1.5	2.25	1.5	14.25	5.25	1.5	6.75	8.25	1.5	2.25	9.75	0.75	2.25	0.75	1.5	12.75	0.75	9.75	1.5	5.25	6.75	4.5
SLC38A1	1.5	1.5	2.25	4.5	3.0	5.25	10.5	18.75	4.5	15.75	10.5	9.0	0.75	8.25	9.0	6.0	13.5	3.75	9.0	3.0	12.75	6.0	6.75	6.75	6.75	5.25	14.25	6.0	4.5	6.0	4.5	25.5	8.25	1.5	3.0	26.25	9.0	3.0	12.75	0.75	8.25	1.5	0.75	4.5	1.5	6.75	2.25	2.25	13.5	8.25
SLC5A3	2.25	2.25	4.5	4.5	1.5	5.25	2.25	6.75	6.0	0.0	5.25	1.5	6.75	8.25	2.25	3.75	1.5	2.25	18.0	0.0	1.5	1.5	1.5	8.25	4.5	8.25	2.25	0.0	3.75	42.0	8.25	57.75	13.5	49.5	19.5	18.75	17.25	0.0	45.0	6.0	4.5	0.0	0.75	9.0	0.75	18.75	0.75	0.0	10.5	5.25
SLC7A11	3.0	12.75	0.75	9.75	6.0	9.0	2.25	12.75	2.25	4.5	4.5	17.25	12.0	0.75	5.25	4.5	3.0	3.0	6.0	0.75	9.75	6.75	8.25	8.25	3.0	3.0	16.5	2.25	8.25	6.75	0.0	4.5	4.5	6.75	4.5	8.25	3.75	2.25	2.25	3.0	2.25	0.75	0.75	10.5	1.5	13.5	4.5	5.25	5.25	6.0
SMARCA5	6.0	10.5	5.25	8.25	4.5	12.0	6.75	20.25	9.75	13.5	1.5	9.75	0.75	1.5	9.0	4.5	2.25	6.0	3.75	5.25	12.75	17.25	6.75	6.0	0.75	4.5	6.75	1.5	4.5	9.0	0.75	12.0	13.5	12.0	10.5	5.25	9.0	0.75	17.25	1.5	14.25	3.75	1.5	8.25	9.0	15.75	6.75	14.25	9.0	5.25
SON	12.0	27.0	15.75	24.75	18.0	23.25	16.5	45.0	10.5	21.0	21.0	23.25	30.75	5.25	24.75	8.25	17.25	18.0	20.25	14.25	35.25	34.5	24.75	21.75	28.5	12.0	21.0	9.75	13.5	11.25	5.25	50.25	14.25	21.75	8.25	33.75	27.75	5.25	39.75	17.25	12.75	3.75	1.5	27.0	8.25	33.75	6.75	20.25	15.75	18.0
SPTAN1	20.25	14.25	13.5	24.0	53.25	33.0	39.0	21.75	24.75	36.75	19.5	14.25	22.5	18.75	28.5	9.0	34.5	20.25	27.0	26.25	39.0	30.75	12.0	42.75	13.5	10.5	27.0	16.5	24.75	19.5	18.75	15.75	36.0	21.0	20.25	17.25	7.5	6.0	27.0	16.5	34.5	15.0	26.25	30.75	22.5	58.5	13.5	16.5	14.25	20.25
SPTBN1	7.5	15.75	19.5	25.5	33.0	34.5	21.75	40.5	15.75	24.0	24.75	13.5	27.75	13.5	33.75	16.5	20.25	21.0	14.25	22.5	40.5	20.25	12.75	15.75	22.5	29.25	28.5	16.5	18.75	16.5	14.25	18.75	30.0	24.0	24.0	20.25	24.0	16.5	14.25	21.0	30.75	28.5	51.75	21.75	26.25	31.5	12.0	9.0	4.5	18.0
SRRM2	16.5	32.25	45.0	63.0	46.5	75.75	32.25	41.25	31.5	43.5	27.0	40.5	21.75	22.5	35.25	18.0	39.75	17.25	28.5	23.25	72.75	60.0	50.25	55.5	27.0	34.5	57.75	24.0	29.25	44.25	16.5	62.25	35.25	33.75	27.75	59.25	41.25	22.5	70.5	31.5	34.5	13.5	4.5	50.25	15.75	69.0	16.5	56.25	39.75	44.25
SSH1	9.75	8.25	5.25	6.0	6.75	3.75	8.25	13.5	15.75	6.0	3.0	6.75	9.0	6.0	6.75	12.0	10.5	9.75	5.25	3.75	26.25	17.25	7.5	9.75	6.0	5.25	9.75	4.5	5.25	6.0	5.25	12.75	6.0	6.0	0.75	14.25	9.0	3.75	16.5	9.75	13.5	3.75	1.5	8.25	0.75	16.5	2.25	6.0	8.25	6.0
STARD9	1.5	8.25	1.5	0.0	3.75	3.75	1.5	2.25	1.5	1.5	0.0	4.5	0.0	0.75	0.0	0.0	1.5	0.0	1.5	0.0	4.5	0.75	0.75	6.0	1.5	2.25	2.25	0.0	0.0	0.0	2.25	5.25	0.0	3.75	0.75	6.75	0.75	0.0	1.5	4.5	0.75	0.0	0.0	3.0	1.5	5.25	5.25	1.5	2.25	1.5
SVEP1	60.0	71.25	71.25	9.0	30.0	78.75	165.75	39.0	15.75	37.5	29.25	20.25	33.0	42.0	51.75	47.25	32.25	37.5	40.5	22.5	57.0	35.25	32.25	25.5	37.5	35.25	17.25	18.0	19.5	37.5	5.25	24.75	22.5	18.0	18.0	44.25	23.25	9.0	45.75	28.5	4.5	0.75	3.0	48.0	30.0	33.75	21.75	58.5	28.5	36.0
TEAD1	9.75	49.5	18.75	63.0	27.75	50.25	17.25	38.25	39.75	14.25	21.0	42.75	15.75	6.0	22.5	10.5	19.5	25.5	12.0	15.75	25.5	25.5	14.25	5.25	9.75	3.0	25.5	8.25	19.5	14.25	6.0	23.25	22.5	18.0	2.25	20.25	4.5	10.5	16.5	15.75	27.75	14.25	6.75	12.75	13.5	34.5	22.5	79.5	12.0	21.0
THBS1	288.75	120.0	249.0	261.0	96.0	94.5	321.75	324.75	228.0	168.75	92.25	125.25	113.25	31.5	208.5	82.5	190.5	194.25	187.5	21.75	360.0	159.0	265.5	95.25	112.5	27.0	124.5	96.0	141.0	445.5	53.25	580.5	279.75	368.25	141.0	288.0	99.0	46.5	393.0	62.25	75.0	17.25	24.0	100.5	222.0	185.25	140.25	184.5	123.0	148.5
THSD4	12.0	9.75	4.5	24.75	13.5	24.75	18.75	21.0	21.75	10.5	10.5	25.5	1.5	16.5	21.75	14.25	26.25	21.0	3.0	21.75	58.5	18.0	19.5	21.75	11.25	6.75	8.25	12.0	15.0	17.25	8.25	36.0	36.75	15.75	21.0	28.5	9.0	9.0	30.0	21.0	12.75	15.0	3.75	27.75	2.25	27.0	2.25	3.0	10.5	18.0
TLN1	28.5	36.0	39.75	18.0	58.5	51.75	42.0	31.5	27.75	48.0	29.25	25.5	20.25	12.75	36.75	34.5	18.0	46.5	26.25	48.75	68.25	73.5	25.5	53.25	29.25	25.5	48.0	30.75	13.5	42.75	18.0	29.25	66.75	32.25	36.0	41.25	25.5	30.75	33.0	46.5	47.25	32.25	18.0	39.75	18.75	63.75	24.75	24.75	20.25	24.75
TMOD2	4.5	5.25	1.5	2.25	1.5	0.0	2.25	1.5	1.5	3.75	0.75	5.25	0.75	4.5	1.5	0.75	0.0	0.0	1.5	0.0	6.75	1.5	0.75	3.0	0.0	1.5	0.75	0.75	3.0	0.75	0.0	2.25	0.75	4.5	2.25	5.25	0.0	0.0	2.25	0.0	0.0	0.0	0.0	2.25	0.0	8.25	0.75	0.75	5.25	1.5
TNC	4.5	32.25	85.5	33.0	88.5	12.75	252.0	108.75	24.75	103.5	12.0	28.5	46.5	22.5	122.25	104.25	84.0	147.75	33.0	41.25	79.5	33.0	48.0	84.0	64.5	36.75	142.5	133.5	27.0	36.0	12.0	242.25	105.0	6.0	55.5	279.75	21.0	12.75	119.25	80.25	24.75	2.25	6.0	10.5	1.5	33.0	12.0	17.25	20.25	66.0
TNRC6A	6.0	3.75	6.0	1.5	9.75	3.75	9.75	8.25	4.5	9.75	4.5	3.0	5.25	2.25	6.75	1.5	3.75	3.75	3.75	0.0	5.25	3.75	2.25	4.5	2.25	1.5	6.0	4.5	1.5	12.0	2.25	9.0	4.5	3.75	6.0	2.25	7.5	3.75	8.25	0.75	7.5	2.25	0.75	9.75	3.75	9.75	2.25	4.5	1.5	9.0
TPR	5.25	4.5	4.5	9.0	4.5	15.75	4.5	8.25	6.0	12.0	2.25	6.0	9.75	2.25	9.0	3.75	5.25	4.5	0.75	4.5	16.5	9.75	2.25	2.25	8.25	0.75	6.0	7.5	7.5	1.5	4.5	5.25	5.25	4.5	3.75	4.5	6.0	5.25	8.25	5.25	8.25	2.25	8.25	4.5	9.0	11.25	4.5	9.0	2.25	4.5
UBR2	1.5	4.5	3.75	0.0	3.0	4.5	3.0	2.25	6.0	1.5	2.25	2.25	0.75	1.5	2.25	0.0	0.0	1.5	4.5	0.75	3.75	8.25	0.75	6.0	1.5	2.25	4.5	2.25	0.75	0.75	4.5	6.0	6.75	4.5	1.5	3.75	3.75	3.75	6.75	2.25	0.0	0.75	0.0	8.25	0.75	8.25	0.0	0.75	2.25	3.0
UBR5	5.25	9.75	12.75	16.5	16.5	9.75	12.75	12.75	12.75	15.75	22.5	9.0	8.25	6.75	18.0	6.0	8.25	2.25	12.75	9.75	18.75	14.25	12.0	6.0	5.25	10.5	12.75	9.75	9.0	9.0	12.0	12.75	10.5	8.25	12.0	6.0	8.25	9.0	14.25	6.0	9.75	5.25	5.25	10.5	12.0	18.0	4.5	8.25	12.75	9.0
USP24	4.5	2.25	4.5	4.5	5.25	4.5	1.5	3.75	0.0	3.0	0.75	0.0	1.5	0.75	1.5	2.25	0.0	0.75	0.0	1.5	7.5	0.75	2.25	6.0	1.5	0.75	0.0	0.0	0.75	8.25	0.0	3.75	5.25	2.25	2.25	5.25	4.5	1.5	6.0	2.25	2.25	0.0	0.75	2.25	1.5	6.0	1.5	0.0	4.5	0.75
USP34	0.75	3.75	4.5	0.0	4.5	6.0	6.0	3.0	1.5	2.25	4.5	3.0	1.5	2.25	2.25	1.5	0.75	1.5	1.5	0.0	1.5	8.25	2.25	6.0	0.0	2.25	0.75	4.5	0.75	0.75	0.75	6.0	4.5	3.75	4.5	3.0	3.0	0.0	6.75	4.5	2.25	2.25	4.5	9.75	0.75	3.0	1.5	1.5	8.25	6.75
USP9X	2.25	4.5	6.0	6.75	12.75	4.5	5.25	5.25	8.25	10.5	8.25	1.5	5.25	1.5	12.0	3.75	9.75	6.0	4.5	2.25	10.5	9.75	2.25	5.25	7.5	5.25	9.75	3.75	6.0	10.5	4.5	6.0	12.0	4.5	8.25	3.75	3.0	12.75	12.0	1.5	11.25	2.25	4.5	9.0	3.75	9.0	1.5	6.0	8.25	9.0
VCAN	6.75	1.5	12.0	4.5	5.25	2.25	12.0	6.75	2.25	3.0	1.5	1.5	5.25	2.25	6.0	0.75	8.25	4.5	8.25	0.75	3.0	3.0	4.5	4.5	4.5	0.75	6.0	6.75	3.0	6.75	0.0	6.0	1.5	0.75	4.5	9.75	1.5	0.75	4.5	10.5	1.5	0.75	0.0	4.5	0.0	3.75	2.25	4.5	9.75	10.5
VPS13A	2.25	5.25	2.25	0.75	1.5	3.75	0.75	0.75	4.5	1.5	3.0	4.5	1.5	0.75	3.0	0.0	0.75	0.75	2.25	0.0	5.25	4.5	0.75	1.5	1.5	0.0	0.75	0.75	0.75	2.25	0.75	5.25	3.0	1.5	1.5	0.75	2.25	1.5	1.5	0.75	0.0	0.75	0.75	1.5	0.75	6.75	0.0	0.0	2.25	3.75
VPS13D	6.75	3.0	2.25	3.75	5.25	4.5	3.75	10.5	0.75	2.25	2.25	4.5	0.75	1.5	6.0	0.0	5.25	3.75	3.0	1.5	9.0	9.75	3.0	9.0	4.5	2.25	6.0	1.5	5.25	8.25	1.5	6.0	3.75	8.25	6.0	8.25	2.25	2.25	6.0	0.0	3.75	2.25	1.5	5.25	2.25	1.5	2.25	1.5	3.75	3.75
ZC3H13	3.75	2.25	8.25	3.75	16.5	5.25	5.25	5.25	5.25	1.5	2.25	1.5	6.0	5.25	6.0	2.25	6.0	2.25	3.75	2.25	10.5	2.25	5.25	9.75	4.5	2.25	5.25	0.75	5.25	3.75	3.75	4.5	2.25	9.0	2.25	4.5	2.25	0.75	1.5	4.5	3.75	0.75	3.75	0.75	9.0	4.5	4.5	0.0	1.5	12.0
ZFC3H1	0.75	5.25	2.25	5.25	3.75	6.75	2.25	2.25	6.0	8.25	2.25	5.25	5.25	0.75	4.5	5.25	1.5	0.75	1.5	4.5	4.5	3.0	9.75	3.75	0.0	0.75	8.25	0.75	5.25	3.75	0.0	2.25	3.0	2.25	0.75	5.25	0.75	0.75	5.25	0.75	1.5	0.75	0.75	4.5	0.75	5.25	6.75	1.5	0.75	2.25
ZKSCAN2	2.25	3.0	3.0	0.0	3.75	3.0	2.25	1.5	2.25	0.75	4.5	1.5	1.5	3.0	2.25	1.5	0.75	1.5	0.0	0.75	3.0	2.25	3.0	5.25	1.5	1.5	0.75	0.0	0.75	1.5	3.0	3.75	0.0	4.5	2.25	4.5	3.75	0.75	3.0	1.5	0.0	0.0	0.0	2.25	1.5	2.25	0.75	0.75	4.5	2.25
