feat	codeword	expressed
FAM171B	1101101001100010	1
NUDT3	0111011001100010	1
SRGAP1	1111000101100010	1
EYA3	0101110101100010	1
UBL3	1010011101100010	1
ZNF280D	1110010011100010	1
ARL3	1011001011100010	1
LRRC2	0001111011100010	1
ITGA6	1001100111100010	1
STYX	0011010111100010	1
NF1	0110001111100010	1
JAG1	0111111000010010	1
TOP3A	1111100100010010	1
VPS13A	1010111100010010	1
BOD1L1	1110110010010010	1
NFX1	1011101010010010	1
C18orf25	0011110110010010	1
ZNF160	0110101110010010	1
CCSER2	1100011110010010	1
MAVS	1110011001010010	1
FHOD1	1100110101010010	1
RNF123	1001101101010010	1
DHX38	0011011101010010	1
FAM8A1	1101100011010010	1
NCAPD3	0111010011010010	1
ABCA2	1000111011010010	1
CREBL2	1010010111010010	1
DOCK10	1001111000110010	1
KLF9	1011010100110010	1
DTX4	1110001100110010	1
MARCH4	0100111100110010	1
SEC24B	0101101010110010	1
BAG5	0111000110110010	1
FOXM1	1000101110110010	1
UBE4A	0010011110110010	1
PCNX	1010101001110010	1
ZNF516	0010110101110010	1
DHX8	0011100011110010	1
MEGF8	1001010011110010	1
SBNO1	1100001011110010	1
FNBP1L	0100010111110010	1
LRP5	0001001111110010	1
CES2	1110011100001010	1
SEC16A	1111001010001010	1
IKZF5	0101111010001010	1
ATG16L1	1101100110001010	1
PLCB3	0111010110001010	1
SYNJ2	1000111110001010	1
FAM13A	1111100001001010	1
FAM178A	1010111001001010	1
KIAA0247	1101001101001010	1
MED15	0011110011001010	1
AREL1	0110101011001010	1
ZBTB21	1100011011001010	1
SMURF1	0001011111001010	1
TRPC6	0111101000101010	1
ARHGAP18	1101011000101010	1
blank003	1010101100101010	1
KLF3	1110100010101010	1
TOR4A	0011100110101010	1
COG3	1001010110101010	1
MCM8	1100001110101010	1
FYCO1	1011010001101010	1
SEMA5A	1110001001101010	1
RP11-473I1.10	0100111001101010	1
MTR	1100100101101010	1
SMCR7L	0110010101101010	1
ZFPM2	0011001101101010	1
AMMECR1L	0111000011101010	1
STAT5B	1000101011101010	1
UST	0010011011101010	1
PRDM2	1010000111101010	1
GBF1	0000110111101010	1
AKAP9	1011110000011010	1
CSPP1	1110101000011010	1
GUF1	0110110100011010	1
ATP11A	0011101100011010	1
POLD3	1001011100011010	1
CD2AP	0111100010011010	1
EPC2	1101010010011010	1
BRD3	0010111010011010	1
CDCA2	1010100110011010	1
WDR44	0101001110011010	1
ATF7IP	0111001001011010	1
EVC	0101100101011010	1
CDK5RAP2	1010001101011010	1
NFAT5	0000111101011010	1
KDM4A	1110000011011010	1
TTLL4	0100110011011010	1
AVL9	0001101011011010	1
UBN1	0011000111011010	1
BRWD1	1111000000111010	1
TRIM37	0101110000111010	1
ACSL1	1010011000111010	1
MRAS	1000110100111010	1
REV3L	1001100010111010	1
LRRC8C	0011010010111010	1
LLGL1	0110001010111010	1
KLF13	0100100110111010	1
KIAA0754	0110100001111010	1
DDX60	1100010001111010	1
DMD	1001001001111010	1
LSM3	0001010101111010	1
PCNXL3	0100001101111010	1
ETV5	1011111000000110	1
MLLT6	0110111100000110	1
ARFGEF1	0111101010000110	1
CASC5	1101011010000110	1
AKAP11	1010101110000110	1
CSRNP2	1101110001000110	1
TWISTNB	0101101101000110	1
NOL6	1011010011000110	1
C17orf70	1110001011000110	1
ENTPD7	0100111011000110	1
LSS	1100100111000110	1
FAM129A	0110010111000110	1
MON2	0011001111000110	1
TMEM194A	1111001000100110	1
EXOC2	0101111000100110	1
MCM2	1101100100100110	1
UPF2	0111010100100110	1
LPHN3	1000111100100110	1
KANK1	1100110010100110	1
HERC1	1001101010100110	1
EPHA2	0011011010100110	1
TBC1D16	1011000110100110	1
MIB1	0001110110100110	1
SNX30	0100101110100110	1
MAFG	0011110001100110	1
RASGRF2	0110101001100110	1
MAP7D3	1100011001100110	1
SMG1	0001011101100110	1
USP19	0101010011100110	1
STXBP1	0010100111100110	1
PRDM4	1000010111100110	1
URGCP	1100111000010110	1
FBXO42	1110010100010110	1
TADA2B	1011001100010110	1
PHF13	0001111100010110	1
TUBGCP5	1111000010010110	1
ANKFY1	0101110010010110	1
CTCF	1010011010010110	1
CUL7	1000110110010110	1
